epoch,train_loss,val_loss,val_f1
0,1.5234033118411485,1.0146932380313338,0.16189370175032003
1,0.4917055882929581,0.29680728449141974,0.3153433222272706
2,0.2972440564742424,0.21349915242205597,0.38851103121397706
3,0.22215647012757106,0.17735408762634838,0.43389816416720084
4,0.18311088250944665,0.1531952900766523,0.47713651337408536
5,0.1575265385002679,0.13517057662969828,0.5052111778633627
6,0.14031721935349198,0.12539214615741803,0.5242716176066854
7,0.12734886980488408,0.11797288633969094,0.5434124984643985
8,0.11778655605983651,0.11364055108187056,0.5638250806101889
9,0.10989143999426407,0.11163081847795703,0.5728123608153192
10,0.10381291403320055,0.10738956573020915,0.577207971222954
11,0.09660308559453185,0.10400436746197822,0.58751315139153
12,0.09154497488929077,0.10326550160095888,0.5997489287359241
13,0.08639357147652105,0.10118027866729076,0.6077018283153683
14,0.08195260506253073,0.10108055434055296,0.6143046079086308
15,0.07798647183248683,0.10211284351024669,0.6101602857090608
16,0.0745996789070882,0.10345341657075587,0.6168609644909444
17,0.07140926909973337,0.10210701224724371,0.6181700197405916
18,0.0725424784366648,0.10877432006978255,0.6154559990155019
19,0.07120417786503866,0.10194753739586015,0.6246671826386438
20,0.06569737268810928,0.10047096429167053,0.6244404356800141
21,0.06244779537680475,0.09927798307790701,0.6221921104547201
22,0.05956417503180478,0.10232484392633424,0.6284380109371756
23,0.05738639094763629,0.10361123759512988,0.6330734137939844
24,0.05489067477574253,0.10505995496715546,0.6316801671702716
25,0.05241319090026202,0.10537769198366043,0.6320830137650121
26,0.0506084930891529,0.10637787663147391,0.6279100840616049
27,0.049135396735697466,0.10643933763615546,0.6351018164059765
28,0.04744281571690649,0.10767312040945051,0.6328018033801175
29,0.045935970748309136,0.10765585239355675,0.622839381023089
30,0.044874007672308154,0.10889183927884374,0.6342150388057999
31,0.04397503210402248,0.10953927502058174,0.630778375417229
32,0.038419794963433604,0.1045427832443368,0.6387274911078704
33,0.035434595218994884,0.10525055125526733,0.6369934044785225
34,0.03396825491525113,0.10639227440308138,0.6356808376625802
35,0.032611846048411094,0.10802429665525948,0.6402193092018399
36,0.031806738016705416,0.10906947723500782,0.6432833734510821
37,0.030895250919173084,0.11042827806053919,0.6405968333574362
38,0.030282917292110963,0.11128495156814612,0.6443010326858131
39,0.029539574650468817,0.11253846918724346,0.6419074064452825
40,0.02907552424881938,0.1134781298085482,0.6452780800362858
41,0.028663107431765263,0.11341250564501158,0.6435425783705758
42,0.02791104566698885,0.11478679391980046,0.639207081159133
43,0.027628831809915745,0.1162752424442424,0.6437138024792527
44,0.027145998495078014,0.11686977993740998,0.6470633765859457
45,0.027851049835754038,0.11911500904869061,0.6353686291362887
46,0.027051232101606395,0.11867684826963172,0.642537276750154
47,0.025870013246657685,0.1193271713156106,0.6433626566918675
48,0.02535051136740323,0.11937706483482333,0.648312358627246
49,0.02508407258294047,0.12159635133339754,0.6369484716785313
50,0.024575927174264243,0.12200889712688873,0.6413515326573084
51,0.023984627393123514,0.12244247159635419,0.6401320296497321
52,0.023935132475624094,0.12392650034464683,0.63728163137773
53,0.022008375015701638,0.1224129750237501,0.6368722680663418
54,0.020887782529162673,0.12349805979611107,0.6412663270986896
55,0.02036910660489572,0.12430786449111601,0.6396843693855179
56,0.019851979935848474,0.12492928033949847,0.6416920218392298
57,0.018937492767220912,0.12431171987893001,0.6445039916583803
58,0.018474117351342446,0.12454007718791657,0.6424778390892883
59,0.018174174820702462,0.12472450441585302,0.644564519301508
