epoch,train_loss,val_loss
0,0.2933816480464608,1.6118178085440147
1,0.07177491706555922,1.2127130566922013
2,0.06109826795485181,0.9654006350603334
3,0.05818929466048866,0.8414855837875707
4,0.05900620042087248,0.7141018234858231
5,0.06277625294996282,0.675464957440695
6,0.0564613173873705,0.6368061375248408
7,0.05030945704162458,0.6236739932601092
8,0.047479451141858614,0.6106308304764632
9,0.044213859149977074,0.5940308240030656
10,0.04172839290715874,0.617888784347492
11,0.039302574900770215,0.6078919093253392
12,0.03784411431582303,0.6484187421843088
13,0.028123506834972885,0.5726621866023145
14,0.023819296907314408,0.5696973280148302
15,0.02068297397253821,0.58241132840946
16,0.01968234264253646,0.6000144080155709
17,0.018406996269354884,0.584352106239888
18,0.014683655383990633,0.5862290937705803
19,0.012256806837592001,0.5930068154705745
