epoch,train_loss,val_loss,accuracy_em,accuracy_char
0,0.40711109583999794,2.0878907109353446,0.4846647555747228,0.7293967205288265
1,0.0895995885533535,1.7440689026309242,0.5982647961642863,0.7911652541379075
2,0.060205663819220975,1.5351302892382797,0.6544686572465055,0.818570796434809
3,0.05516886875199882,1.4713711378595824,0.6626373068824678,0.8226614053640477
4,0.04585794362533208,1.377640412794245,0.6804079251122556,0.8305520563017059
5,0.04231623326421831,1.192469521784423,0.7244476014104874,0.8529971130938575
6,0.046002662983541845,1.1321879116680604,0.7329206727720134,0.8566671166327802
7,0.04343319225055486,1.0233158909893278,0.7467464928080367,0.8667355861868394
8,0.04578547949618193,1.109748378443144,0.711332098734113,0.8474083254849861
9,0.04717769208425941,1.0230338058293098,0.738869580659073,0.8622783156812843
10,0.04435128604852336,0.9604198898384456,0.7540652984601335,0.8703714513700426
11,0.0443794873817769,1.1056170862255046,0.7079454070372155,0.8409942235817337
12,0.047463443464176885,0.9059143810984153,0.7662167990055557,0.8765429364093642
13,0.05287765865424586,0.8468053794850084,0.7715061264872269,0.8792362181373174
14,0.05065663630044004,0.8471184568606491,0.7662675359598163,0.8767482877399523
15,0.062361168124381826,0.8194725061694327,0.7728379715365686,0.8806442298621489
16,0.06734087900212858,0.8241809975892189,0.7653415865445597,0.8771047859889933
17,0.06972696648511308,0.8337342515859594,0.7503995535148025,0.8705004474469983
18,0.07805410800282139,0.8131892824172249,0.7507039752403664,0.8725591727155837
19,0.08305399608661097,0.7540345485512429,0.7563357771632969,0.8748844898765442
20,0.08302141982245063,0.7491285658934324,0.764884953956214,0.8790819440412412
21,0.09896267546923586,0.6713242022201042,0.7625130013445293,0.88001358237481
22,0.09750943024018835,0.691582234115213,0.7677008549176793,0.8828337753946368
23,0.10891596290849201,0.6260874244549351,0.7717217585428346,0.8852729739407077
24,0.1255857317757835,0.5817762191247934,0.7656206397929932,0.8851796798082832
25,0.13586434377457998,0.6495001532548698,0.7411273751236713,0.8729341734322286
26,0.15905532569849537,0.5910131248141773,0.7560186711991679,0.8820433812503812
27,0.1771312912583922,0.5768538700427556,0.7461883863111698,0.8774803079019088
28,0.19948094065597533,0.5250244894434593,0.728252872980035,0.874740118509608
29,0.24480373962656074,0.49031719756367026,0.7140718942641873,0.8690231166181868
30,0.2733669302271668,0.4622824193007432,0.7104061493188564,0.8707261254321369
31,0.31387437578319977,0.4354307798121545,0.6949947994621883,0.8664861937713918
32,0.3566609354870859,0.4102215300321376,0.6698292701489129,0.8599417928005074
33,0.38272685538483364,0.38776876994839904,0.6367741444481088,0.854044978195754
34,0.39043133691399706,0.386286782956019,0.6548872371191558,0.859942313996778
35,0.38150841789228623,0.40244196414773564,0.6362033537126767,0.8543767196219451
36,0.3844626768481184,0.39096025704562026,0.6337426114310358,0.8542644018256463
37,0.39339415214165374,0.4042499352550924,0.6275019660569776,0.850517782434956
38,0.3966680233584523,0.40517457665563905,0.6013343818970547,0.8471844716867944
39,0.386124797827749,0.39855092506246925,0.6260052259062888,0.8521775319584524
40,0.3536118652492264,0.37068636632064206,0.6595169841954387,0.865720295851851
41,0.33000492556240185,0.37077565703736726,0.6699180598188691,0.8685709788535038
42,0.3232769387392675,0.35515303174142476,0.6682691088053984,0.8707589607971801
43,0.31501884417414433,0.35787268539579,0.6778583931606585,0.8722946656082907
44,0.3102717218053306,0.3594149591433834,0.6800781349095614,0.8726829568298341
45,0.30590779381970673,0.35201186786046984,0.6785687105203074,0.8733464396822163
46,0.29786027015702826,0.3550927530392526,0.679570765366955,0.87405109703997
47,0.29325545298563194,0.3480896780897903,0.6860777797508816,0.8750838474500212
48,0.28934386069977874,0.3494409463297692,0.6821329815571171,0.8757546270501907
49,0.28658789744983065,0.34195571178244244,0.6812831375732514,0.8766784474397015
50,0.2851504248933782,0.33338309179063785,0.6864709911464015,0.8781226823053345
51,0.28192915972404564,0.3393369795562489,0.6879296785813948,0.8786225095287709
52,0.28085922672228486,0.3521954263904737,0.6874223090387884,0.8770646538761627
53,0.2793538068455035,0.338612338221824,0.6949567467464928,0.8801754138168089
54,0.27857015235486765,0.3459311107604797,0.684910829802887,0.8782991072429082
55,0.2767102913450713,0.3428985331096987,0.6943859560110607,0.8798887558680185
56,0.26467306566313054,0.3423042390767325,0.7057129810497476,0.8834383630684493
