epoch,train_loss,val_loss,val_f1
0,4.227333366841706,4.098640674539323,0.0004376404179914603
1,3.86375329328207,3.1406102370420435,0.003844546452720316
2,2.7833203007155096,2.6059179550815186,0.006891021757425173
3,2.591671297507157,2.520705238418986,0.008103629776956748
4,2.477705856948299,2.3466819726340837,0.00880186448882651
5,2.2951022983887763,2.2329615912757044,0.01335195085194406
6,2.177443479360367,2.0367589304307168,0.017493118123833435
7,1.9432482757622362,1.8258779894219155,0.022503145533101704
8,1.7247739236961936,1.6647212230136943,0.034093291110016834
9,1.5813603822641293,1.5403046677955707,0.041479453858349474
10,1.469730803831748,1.4064598572455616,0.04742881745094237
11,1.3068534877919022,1.24560343324918,0.057058673362013215
12,1.1947515046657327,1.142623260963369,0.06747254285534751
13,1.1052430774643707,1.0791377388224535,0.07341090210799923
14,1.0469126196133403,1.00899769926494,0.07987832659324709
15,0.9964043050586564,0.9861530056520735,0.08587857042735339
16,0.948156136184157,0.9103285747011538,0.09204376283651695
17,0.8997114938303242,0.8774843780334717,0.09642672904423182
18,0.8596463688091867,0.8310034509771776,0.10117917237111042
19,0.8219102324558358,0.8013835870489571,0.10326086784567247
